Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
"Influence of photodynamic therapy (diode laser) as an adjunct to scaling and root planing on the levels of Gingival Crevicular Fluid (GCF) Interleukin-6, 8 & 10 in the treatment of chronic periodontitis.",38,40,43,41,47,50,43,46,31,38,41,50,40,40,50,53,45,22,36,39,46,62,43,40,36,45,40,41,37,52,38,40,47,43,55,45,44,42,41,43,55,48,61,50,55,42,42,40,56,29,38,33,31,33,50,45,60,36,35,39,48,43,39,60,38,50,50,44,50,40,47,25,50,58,37,46,39,36,41,50,39,38,40,44,36,42,42,50,35,40,40,50,41,42,42,32,50,38,38,50,50,42,36,44,35,40,50,44,44,31,40,42,38,38,50,35,50,42,37,47,32,40,46,45,46,46,43,62,38,58,54,40,40,57,38,26,39,42,39,47,35,36,40,36,40,47,33,50,40,41,46,38,39,36,40,55,50,38,67,38,39,40,36,38,33,37,41,40,46,33,33,40,34,44,33,42,50,45,50,44,43,67,43,47,50,40,42,38,40,50,44,57,50,37,41,40,41,38,44,43,38,33,50,45,39,50,46,57,27,32,50,40,45,52,47,33,40,43,50,35,35,38,38,53,43,33,44,43,45,50,40,57,29,42,40,43,43,45,35,38,42,42,33,44,57,44,37,45,35,42,41,40,36,42,50
To compare the effect of Video game program in standing on balance board training and traditional balance training in standing on Balance and Functional ability in Parkinsons Disease patients.,46,47,39,36,50,41,43,46,46,44,47,42,40,40,33,41,48,35,48,48,39,50,50,48,39,54,40,41,53,61,38,30,47,64,45,55,34,35,51,46,43,52,48,44,45,46,42,31,39,34,38,29,31,22,44,50,40,54,35,67,39,40,56,50,38,62,33,44,56,60,41,34,42,58,43,46,50,36,41,43,39,41,40,33,39,46,50,45,42,55,33,50,50,53,46,45,36,56,50,45,25,53,50,33,35,42,38,38,50,50,38,42,50,41,44,44,47,38,37,47,55,33,54,35,62,38,43,38,42,50,54,50,40,43,44,39,45,39,44,32,35,38,40,57,60,50,42,50,55,37,38,38,39,28,24,55,44,44,67,51,44,34,41,40,33,53,27,35,46,38,38,47,43,47,48,50,36,40,43,44,43,50,57,59,50,38,58,46,55,55,56,36,50,37,38,47,48,38,44,38,29,50,55,45,61,40,46,43,33,46,32,45,47,43,41,33,43,50,33,35,43,38,43,41,43,42,50,43,42,50,44,50,42,33,40,36,47,50,45,35,50,39,33,44,43,38,41,48,39,47,43,40,43,33,27
Patient awareness about dental implants,38,57,30,27,41,38,30,33,32,29,35,42,30,50,33,44,45,31,32,43,46,44,36,40,44,38,40,27,38,33,40,30,21,37,40,32,22,21,32,39,35,33,34,38,29,38,50,36,42,21,33,32,36,33,50,35,44,39,47,39,30,53,29,30,31,38,28,33,44,40,35,47,42,33,22,38,44,42,20,38,36,45,40,44,30,38,50,45,39,45,27,40,27,25,42,27,50,62,38,45,75,32,32,28,38,38,25,31,25,31,44,37,33,32,42,38,44,34,30,35,32,27,32,30,31,46,29,38,32,25,46,49,40,43,31,43,42,39,41,39,35,31,41,43,40,50,33,38,20,23,24,32,30,24,33,27,26,50,56,31,39,41,45,36,44,37,23,31,38,36,36,36,36,31,40,30,36,33,36,40,36,42,30,47,50,40,40,35,39,45,36,29,35,38,43,50,41,38,33,26,38,50,38,32,30,35,38,43,27,31,32,36,40,38,29,22,33,30,33,22,26,25,33,33,43,42,44,30,31,38,29,36,33,33,27,46,37,41,26,29,30,45,33,44,30,38,41,35,43,37,45,40,36,42,30
Effect of Yoga on Pregnancy,45,33,25,26,27,35,20,36,26,32,38,29,21,32,17,23,26,30,20,26,26,19,29,24,30,38,30,23,30,17,25,20,40,24,30,27,25,26,34,30,24,24,35,38,23,21,23,26,33,26,36,29,30,33,33,29,20,29,14,14,35,24,19,30,31,38,29,38,31,40,71,37,33,33,15,23,39,30,44,39,33,35,20,28,38,37,58,34,27,30,43,22,22,26,36,12,32,41,38,30,25,32,34,29,22,24,25,31,38,19,28,31,17,31,27,33,44,29,26,38,23,21,43,30,45,31,29,25,42,36,46,15,30,18,31,32,33,29,29,32,29,30,44,29,30,31,25,38,35,17,37,40,23,29,23,38,37,25,56,36,28,30,36,48,33,47,36,30,29,27,30,47,44,48,39,33,35,25,29,38,21,33,50,38,36,39,32,44,26,35,24,29,30,33,46,48,37,25,33,41,46,33,35,50,35,21,32,29,27,46,23,40,37,20,23,22,32,50,33,22,35,13,38,37,43,17,17,50,37,38,34,36,19,25,18,25,26,23,24,37,46,35,24,22,33,19,19,28,26,37,22,35,29,33,20
"Internet use, ways of relating and psychological problems and their relationship with college students involved in online romantic relationships",38,40,43,45,47,38,48,42,36,38,35,33,30,40,50,53,45,35,44,44,39,38,36,40,41,46,47,45,30,35,38,50,40,43,50,41,36,42,35,46,31,48,48,38,50,42,50,40,39,37,43,33,38,40,50,35,50,42,36,39,22,43,33,40,46,50,56,47,50,40,47,41,35,35,33,38,56,33,35,47,32,45,40,50,36,38,42,35,35,35,33,40,36,36,46,45,57,50,38,50,25,39,59,44,38,36,50,38,31,31,31,47,31,43,50,37,47,46,42,41,32,53,31,40,46,46,57,50,38,33,46,35,29,43,50,43,36,42,39,42,45,38,47,43,40,38,50,38,30,41,42,50,33,40,31,45,33,44,56,38,39,32,36,44,44,42,55,35,50,31,27,40,36,42,44,33,36,50,36,31,43,42,29,47,58,45,37,42,45,40,30,36,50,37,43,47,41,38,33,34,50,50,45,55,30,50,62,43,33,54,41,35,42,43,47,33,47,43,50,35,52,50,38,41,43,42,50,36,36,50,33,43,33,42,40,39,47,55,32,43,42,42,42,33,43,44,44,41,43,47,36,40,43,42,60
Tacrolimus disposition in the patients before renal transplantation,38,47,35,36,41,41,43,38,38,38,41,50,50,30,50,41,33,35,36,48,39,50,33,36,51,31,27,36,37,26,38,30,21,36,40,41,24,25,38,43,31,43,26,38,23,42,50,40,37,41,48,24,31,40,33,45,40,32,47,39,43,43,39,50,38,38,39,44,50,40,41,38,42,50,37,46,44,39,35,40,43,34,40,44,27,42,50,50,45,40,33,40,31,32,42,29,43,56,38,35,50,42,41,39,38,38,50,38,31,35,40,42,50,24,50,35,50,33,37,41,41,47,33,25,38,33,43,25,36,42,46,40,40,43,44,38,55,39,44,42,35,37,49,43,40,44,50,38,40,37,35,38,33,32,36,45,39,38,67,41,50,39,41,51,44,47,41,40,42,31,26,37,34,44,44,42,29,50,43,44,36,58,29,47,50,38,42,46,45,45,40,29,60,35,48,41,41,50,44,34,38,50,45,45,39,45,54,57,40,38,36,40,42,38,41,44,37,36,36,34,35,50,43,33,43,42,44,36,39,50,56,42,33,42,40,38,40,45,29,43,46,45,50,33,37,50,30,45,48,47,32,35,29,33,40
Effect of school based education about tobacco on the knowledge and exposure to Second Hand Tobacco Smoke among adolescents,32,33,29,29,38,44,38,33,38,38,18,33,30,40,33,41,48,42,36,28,36,31,43,40,31,46,33,27,33,35,38,40,33,50,40,41,40,38,41,43,24,33,48,38,36,38,42,44,33,37,43,38,38,40,50,30,40,43,47,28,39,37,33,30,46,38,39,33,50,40,47,41,33,50,35,38,39,61,35,47,61,52,40,33,46,33,42,40,39,40,40,40,34,39,38,39,36,31,38,35,75,47,36,39,37,33,38,31,38,35,38,32,31,41,32,33,40,38,37,47,45,40,46,45,31,38,57,38,35,33,46,35,32,29,44,26,39,35,39,32,29,36,33,57,30,38,42,50,40,37,38,38,39,40,26,36,33,44,44,46,44,32,36,33,33,47,41,30,42,31,35,40,32,39,37,42,36,40,43,44,36,42,36,29,33,38,53,38,50,45,36,36,40,41,43,40,37,38,22,43,38,50,45,50,48,30,46,57,40,46,27,45,40,38,47,33,47,50,67,41,39,25,43,35,43,25,39,36,30,50,39,36,25,33,47,39,33,36,39,46,46,39,25,33,36,38,33,41,43,42,32,50,36,33,30
Clinical and radiographic evaluation and comparision of the effects of definitive abutment versus conventional repeated abutment disconnection and reconnection on peri-implant tissues.,46,60,35,36,35,47,45,42,33,38,53,50,40,60,50,47,48,55,40,48,36,44,29,56,41,38,33,41,33,43,38,40,53,36,50,36,36,38,35,41,38,45,43,50,59,62,58,44,50,39,43,38,38,40,50,55,50,39,44,50,48,57,56,50,38,38,41,44,44,40,59,45,42,42,35,46,50,44,41,53,36,34,40,33,50,50,33,35,39,46,33,40,41,36,46,29,43,38,62,45,50,37,36,44,38,42,50,38,38,35,33,53,35,41,41,39,47,29,42,59,36,47,38,35,38,38,43,38,42,42,46,40,48,57,38,43,42,39,39,37,32,36,45,43,60,31,42,62,40,37,34,44,46,37,34,45,44,56,44,31,44,32,41,44,33,58,32,40,50,33,38,42,47,39,52,42,50,45,43,38,36,42,50,47,42,45,42,38,40,45,44,43,50,44,38,47,44,50,56,36,50,50,50,59,35,40,46,43,33,46,36,53,44,43,35,44,43,43,33,30,36,38,48,47,43,50,44,43,36,38,44,36,33,42,40,43,43,59,42,38,50,58,33,44,43,38,42,41,43,41,43,50,29,33,40
"To study depression ,anxiety and stress symptoms in chronic pain patients.",31,53,30,21,29,41,33,42,36,44,53,42,40,30,33,47,45,35,44,48,36,31,36,36,41,38,27,45,30,30,38,30,53,36,35,59,52,50,43,54,48,38,57,44,50,50,42,31,50,38,33,33,38,27,50,50,50,43,47,33,30,50,39,30,46,50,44,56,50,20,53,47,33,33,30,46,33,39,41,50,43,34,20,33,36,33,33,50,45,35,47,40,38,44,50,32,50,38,25,40,25,32,32,33,40,42,50,44,38,35,27,42,35,35,32,33,47,29,41,41,36,47,31,35,46,31,57,12,50,33,46,40,43,14,38,30,39,39,39,37,40,43,33,43,40,44,33,50,35,33,42,31,44,32,35,36,33,38,67,36,39,36,36,36,44,42,36,46,46,31,33,37,32,28,41,33,50,45,43,31,36,50,36,47,58,45,47,46,40,40,28,36,50,37,43,40,41,38,44,34,38,50,40,50,35,45,38,43,40,38,36,40,42,29,35,33,40,43,67,26,39,50,38,41,43,25,34,43,33,38,44,43,25,25,46,39,43,41,35,38,38,39,33,33,29,44,41,38,43,42,32,40,29,25,30
Effectiveness of Homoeopathic medicines Guaiacum officinale-Q and Urtica urens-Q in increased Blood Uric acid levels,38,60,39,45,35,44,38,42,38,50,35,50,30,29,33,47,34,32,40,43,36,31,36,48,36,46,40,41,43,30,40,40,40,50,45,50,39,42,38,46,40,48,43,38,45,33,38,31,39,34,39,21,31,40,50,35,50,43,47,39,35,33,44,30,46,25,39,33,38,40,53,31,25,33,41,38,46,42,21,47,43,41,40,35,39,38,50,40,32,45,40,30,38,25,42,39,43,38,50,45,50,47,45,33,42,36,50,31,38,35,38,42,35,35,41,37,40,46,42,35,45,34,27,25,27,31,43,50,31,42,38,35,32,29,40,30,39,35,39,37,32,38,38,57,50,38,33,62,40,39,40,31,28,37,35,36,20,38,56,44,39,34,24,40,44,47,50,35,33,29,31,21,38,38,37,46,36,40,43,62,57,50,25,47,50,41,37,42,40,40,36,36,40,37,30,24,35,50,40,38,38,50,50,45,43,31,48,43,33,38,36,35,33,43,44,33,40,25,33,30,35,50,43,41,43,25,33,25,36,50,44,43,64,33,40,39,43,50,39,41,46,43,50,80,43,38,37,45,43,42,41,40,50,42,40
A clinical trial to identify factors affecting quality of life in COPD.,38,40,32,32,35,28,43,38,41,32,36,42,50,33,33,47,39,38,32,35,29,38,36,36,33,46,40,36,30,27,38,40,53,36,40,41,36,33,35,36,43,38,43,56,45,33,40,36,50,29,38,43,38,40,50,30,50,36,41,33,30,37,33,40,38,38,39,44,31,20,41,38,33,42,37,38,39,36,35,47,39,38,40,39,39,39,50,35,42,35,33,42,33,34,46,26,50,44,38,40,25,37,41,33,32,33,38,31,25,24,31,37,31,49,36,26,53,29,51,41,27,40,46,35,38,38,29,38,36,42,38,31,32,43,50,26,34,39,33,32,35,33,42,29,50,50,33,25,35,41,38,31,33,28,35,45,39,44,44,26,39,41,36,36,33,47,32,30,25,29,33,37,30,25,48,40,36,40,43,50,30,33,43,29,33,40,37,33,30,35,39,29,30,30,33,27,37,38,50,36,38,50,40,32,30,30,31,43,40,38,36,30,41,48,41,33,33,43,33,26,35,38,38,39,29,33,40,43,33,46,32,42,47,33,27,35,33,45,20,40,46,36,33,44,36,38,33,41,52,42,36,40,29,33,40
This is a hospital based comparison study and will compare two types of lenses implanted in the eye after cataract removal.,54,47,39,41,50,38,38,38,38,38,35,33,40,50,33,35,45,32,40,52,32,44,50,52,41,54,33,45,50,39,100,30,40,43,45,36,36,38,43,46,45,43,52,38,45,38,46,42,39,39,48,38,38,40,50,40,40,46,41,50,35,40,28,40,38,38,33,44,38,40,41,38,33,33,37,38,50,39,41,37,39,38,40,44,43,38,42,45,29,50,27,60,47,39,42,42,43,56,50,40,25,42,50,39,40,42,38,44,56,42,34,37,38,35,41,33,37,33,32,35,50,33,46,40,46,31,43,38,46,33,31,30,40,57,38,39,39,39,44,37,39,40,49,57,40,44,50,38,30,33,42,44,44,40,35,45,44,38,56,46,44,39,41,51,44,47,41,40,42,44,46,49,36,44,44,46,43,40,57,50,50,42,43,41,50,43,53,42,45,50,48,43,50,33,43,47,44,50,44,38,38,50,45,41,48,40,46,43,40,31,45,50,36,38,41,33,43,36,33,39,35,40,57,36,57,25,44,36,45,50,39,36,33,33,33,39,40,41,42,49,42,42,42,44,50,38,42,38,52,53,45,40,36,36,30
"In this study at first patients nutritional status will be assessed and according to the requirement of calorie and protein preoperative nutrition will be given for 7 days prior to operation. It will help to recover early, less infection and maintain protein level.",38,47,26,36,44,31,24,21,46,19,29,17,20,20,33,35,32,28,40,39,36,25,43,32,36,46,33,23,27,17,0,30,20,14,65,27,28,29,32,32,36,24,26,19,41,33,35,36,22,41,38,29,31,27,50,15,50,36,35,39,22,33,28,40,23,38,28,44,38,40,41,38,42,17,30,31,28,47,24,23,14,34,40,39,21,33,42,45,39,35,27,40,34,33,29,29,50,38,38,30,25,32,27,33,35,31,38,31,38,27,38,26,38,30,23,31,50,29,29,29,36,33,46,30,46,38,29,38,27,25,38,45,32,57,31,35,33,35,39,26,29,29,31,29,40,44,33,50,45,37,35,31,28,32,26,45,22,25,22,36,17,27,32,27,33,37,27,35,38,36,38,30,30,36,44,17,36,20,21,25,21,42,14,12,17,26,21,17,25,20,40,14,40,33,38,7,59,12,22,30,38,33,15,27,39,35,23,43,27,31,36,35,42,33,41,33,50,36,0,22,13,38,43,18,0,25,28,29,36,25,17,21,17,50,27,35,33,23,29,41,38,35,25,22,14,31,33,28,35,32,32,30,29,25,30
Can use of Information technology based electronic health application at primary healthcare level effect the health of people in a community,38,40,35,36,42,44,51,38,38,32,41,58,30,50,50,47,39,32,36,48,39,32,57,28,38,62,40,41,37,30,50,40,40,50,55,50,44,42,41,50,38,38,52,38,50,50,42,36,44,32,33,44,38,33,50,26,50,39,41,44,39,37,39,30,38,50,33,33,31,40,47,44,33,42,33,46,56,42,47,57,46,45,40,50,46,29,42,45,32,40,33,40,28,36,38,42,43,38,50,50,50,53,41,39,38,31,38,44,38,42,35,37,46,32,36,37,47,38,37,35,41,38,46,40,38,38,57,46,46,50,38,25,24,43,56,35,39,42,44,42,29,38,47,43,40,31,35,38,40,33,31,44,39,32,33,45,33,31,44,46,33,32,41,47,44,47,36,45,38,42,35,33,38,44,42,29,32,35,36,50,36,42,36,41,50,36,37,38,30,30,36,36,40,33,24,47,44,38,44,40,50,33,30,41,48,35,38,43,33,38,41,40,38,33,35,44,37,43,50,43,35,38,48,41,57,42,39,36,45,50,39,43,50,42,40,39,37,27,29,41,46,42,35,44,36,31,33,34,48,47,36,45,36,42,30
safety and efficacy of oral triclofos in short duration examination in children,38,40,35,36,35,47,25,33,36,38,53,42,30,33,33,47,42,40,40,39,29,44,36,40,41,38,33,36,37,26,38,40,40,36,40,32,40,42,35,39,33,38,43,44,42,42,42,34,50,24,43,40,42,27,50,40,50,39,35,39,52,37,33,40,31,38,44,44,50,40,41,38,42,50,41,46,39,42,35,50,36,34,60,39,36,38,42,40,45,35,47,40,34,33,38,26,36,31,25,35,25,37,36,28,35,38,62,31,38,38,34,37,38,46,36,39,53,33,37,53,41,33,38,35,31,23,46,50,46,33,46,35,36,43,38,30,45,42,39,32,32,33,38,29,50,38,33,62,40,41,38,31,39,37,31,36,44,38,44,41,39,39,32,42,33,37,41,35,38,22,35,33,40,39,37,46,36,40,50,38,25,50,36,35,42,43,37,29,40,35,36,36,30,33,33,33,44,38,44,43,38,50,55,45,44,31,31,43,27,46,45,45,36,44,41,50,37,36,33,35,30,38,43,41,43,33,39,36,36,50,33,61,48,55,40,43,37,41,35,35,42,32,33,44,43,38,46,41,39,47,41,60,22,33,30
Gall bladder Cancer Registry,54,40,30,32,30,35,34,29,36,38,35,33,33,40,36,41,22,44,32,43,23,44,100,32,54,62,40,33,32,33,38,40,60,43,35,31,19,20,21,39,30,39,61,25,39,43,36,39,44,43,34,15,31,40,33,30,40,25,41,39,39,44,25,40,31,38,44,40,44,60,35,32,42,33,43,31,28,39,59,36,36,31,60,40,33,38,33,35,30,50,47,40,40,64,42,32,44,41,38,33,50,37,21,39,25,36,38,23,31,25,36,31,37,36,27,29,21,38,24,35,21,40,54,30,69,31,43,38,46,67,38,30,28,43,44,22,36,46,56,32,36,39,33,29,40,50,32,31,35,30,31,25,33,36,21,36,50,31,44,26,50,39,50,33,22,42,50,20,41,50,43,32,32,19,26,38,43,35,50,31,32,25,64,65,42,39,37,29,30,30,32,21,24,33,40,60,34,25,33,32,50,50,35,44,21,31,31,43,26,23,31,45,32,42,47,33,21,57,60,30,48,38,33,53,43,25,31,57,50,36,35,24,27,33,20,33,26,24,13,38,34,46,33,44,57,38,52,36,29,37,41,40,21,42,25
Mitochondria-targeted Pyrroloquinoline quinone (PQQ)can be a potential therapeutic in progressive respiratory diseases.,46,40,35,36,42,38,43,33,44,44,47,53,50,40,50,35,32,30,36,61,50,44,50,40,41,54,40,45,40,48,50,40,40,71,35,59,40,38,49,57,43,48,43,44,32,46,42,40,41,34,38,33,32,27,33,45,50,50,53,67,48,47,56,60,46,38,39,44,50,40,41,41,33,33,33,35,33,42,35,40,36,38,40,44,36,42,50,45,35,55,30,50,44,35,33,35,64,56,40,45,50,63,55,44,32,42,50,44,56,46,31,37,62,32,33,53,43,38,42,35,50,47,38,35,38,38,43,43,38,42,38,35,40,43,31,17,39,48,44,41,39,39,31,71,40,50,42,50,65,44,42,38,44,40,38,45,39,44,56,59,44,32,45,31,33,42,41,45,38,33,31,51,43,47,33,42,50,40,43,31,43,67,43,47,42,40,58,38,50,65,48,43,30,48,48,47,37,50,44,34,50,33,50,73,50,35,46,57,33,46,38,60,42,48,35,29,60,36,50,30,35,38,43,41,57,43,41,43,45,50,50,50,50,42,47,39,47,50,42,51,38,45,42,57,43,38,45,41,35,68,36,40,29,42,30
A study to check the efficacy and safety of Cureit in occupational stress,46,47,26,27,39,38,48,29,33,38,53,33,40,40,33,29,35,25,40,48,29,31,43,36,46,54,40,36,37,39,38,40,40,36,55,32,32,29,41,39,33,29,48,31,41,42,42,31,33,39,43,43,46,47,33,35,30,39,47,44,52,40,29,50,38,25,44,44,38,40,35,38,50,50,36,38,50,42,29,37,43,38,40,39,33,33,35,41,39,35,47,40,34,36,42,35,36,44,25,45,50,42,32,28,35,33,50,31,31,35,36,47,38,43,41,37,43,29,39,53,32,47,31,40,31,23,43,25,46,33,38,45,32,29,38,26,36,39,39,32,29,45,38,43,20,38,42,38,33,25,27,44,39,32,37,45,33,39,56,36,33,41,36,38,44,37,36,35,33,16,21,42,30,36,37,58,29,40,36,38,37,33,43,47,42,36,37,29,30,35,32,36,40,31,35,47,37,50,33,36,38,50,40,41,43,36,38,43,33,38,41,35,40,43,41,33,44,36,67,35,47,38,38,35,43,33,42,31,30,43,33,30,25,35,47,31,43,41,36,38,38,42,50,33,43,38,48,38,43,37,32,50,29,33,40
To compare the effect of Walking on Music beat and Walking with specific task to improve walking and balance in paralytic patients.,38,53,39,36,38,38,48,38,41,31,35,50,50,20,67,59,45,28,48,48,46,38,43,44,41,62,40,41,40,30,38,30,40,36,40,36,32,29,38,39,38,33,48,38,45,50,40,40,44,41,38,38,46,33,33,40,50,39,41,33,39,37,33,40,38,50,39,44,38,60,47,41,50,42,37,38,44,36,41,40,39,38,40,39,46,33,33,45,39,45,33,40,38,42,29,39,43,38,62,45,25,37,41,33,35,42,50,38,44,38,31,37,31,41,32,36,43,38,36,35,36,40,46,45,46,38,43,50,42,50,46,50,40,43,31,35,42,39,33,37,35,38,36,29,53,38,42,38,40,30,31,38,39,40,32,27,56,38,44,44,44,32,41,33,22,42,36,35,46,40,38,51,43,39,37,42,36,40,43,38,29,42,43,53,50,52,37,33,35,45,28,36,40,41,33,47,48,38,33,36,25,50,40,41,39,30,46,57,33,38,45,35,35,38,41,44,33,57,50,35,43,25,38,53,43,42,39,50,36,62,44,43,33,33,33,48,43,41,29,35,38,35,33,56,43,31,30,41,43,42,41,35,43,33,50
Routine habits and home remedies followed by women with menorrhagia in cheyyur village,54,33,35,41,33,26,43,33,33,44,29,33,30,30,50,24,39,20,20,48,36,39,29,36,36,38,33,36,40,30,25,40,40,57,40,32,28,33,31,36,38,38,52,31,36,42,42,37,33,37,43,29,31,47,33,35,30,36,47,44,39,40,56,40,46,50,44,44,50,40,33,38,42,42,46,31,33,39,41,37,39,41,60,44,36,42,42,50,39,40,27,50,41,44,29,39,44,48,38,30,75,47,41,33,35,34,50,50,50,36,31,42,50,41,41,31,40,50,37,47,27,47,38,40,38,38,43,38,35,33,46,32,36,43,44,43,30,35,39,53,39,40,27,57,50,50,42,50,30,44,35,44,44,36,32,36,39,44,44,36,44,27,30,27,44,37,41,45,33,36,31,23,28,27,33,42,36,45,43,44,43,67,36,35,42,33,32,33,30,40,40,29,30,33,43,40,30,38,33,36,38,67,45,36,35,40,54,57,33,31,45,40,33,38,41,22,40,43,50,48,48,38,38,35,29,30,23,43,30,50,39,36,33,33,47,39,47,50,29,49,25,45,33,44,50,50,42,41,26,58,41,40,44,58,40
